id,db_id,difficulty,assignee,wrong_turn,error_class,subcategory,fix_idea,notes
bird_1011,formula_1,challenging,Aziz,1,REASONING,string-sort-on-time; question-misread,TEXT time columns ('M:SS.mmm') must be parsed to seconds before MIN/ORDER BY -- never compare as strings.,"RE-VERIFIED under current pipeline (dedup fix + hints off): same bug persists, predicted_sql still ORDER BY lt.time ASC LIMIT 1 (string sort, 1 row not 20). Old classification reused as-is."
bird_1014,formula_1,challenging,Aziz,1,KNOWLEDGE,wrong-source-column,Offline metadata: column descriptions in schema block (results.FastestLapTime = official lap record) so model doesn't rebuild it from lapTimes.,RE-VERIFIED: predicted_sql still derives fastest lap via window fn over lapTimes instead of using results.FastestLapTime. Old classification reused as-is.
bird_1029,european_football_2,moderate,Aziz,-,GOLD_NOISE,gold-sorts-wrong-direction,None -- document.,"RE-VERIFIED: predicted_answer [80,78,78,77] (genuinely highest 4, matches question wording); gold_answer [20,20,20,23] (gold's own ASC-direction bug). Old classification reused as-is."
bird_1058,european_football_2,challenging,Aziz,-,GOLD_NOISE,weird-gold-format,"None -- document. Gold should return the actual player name, or the question should be rewritten.","RE-VERIFIED: predicted_answer 'Juan Quero' (correct per question's ""who""); gold_answer literal string 'Min' (group label). Old classification reused as-is."
bird_1092,european_football_2,simple,Aziz,1,GOLD_NOISE,bad-hint-formula,None -- document. Flag as a limitation of the 'follow hints literally' rule: it helps in most cases but actively hurts when the hint itself is wrong.,"MECHANISM CHANGED from old classification (was REASONING/unhandled-tie, model used LIMIT 1 after seeing a tie). Current run: BIRD's own evidence hint literally says the answer 'refers to MAX(league_name WHERE season=...)' -- a nonsensical formula for finding a league by match count. Model's own reasoning correctly noticed the tie risk, but deferred to the broken hint formula per system prompt's 'treat hints as ground truth' rule, producing MAX(League.name) instead of properly returning all 4 tied leagues. NEW row, does not reuse old one."
bird_1094,european_football_2,challenging,Aziz,4,GOLD_NOISE,weird-gold-logic,None -- document. Gold SUMs overall_rating across ALL historical attribute snapshots per player instead of comparing latest/current ratings.,"RE-VERIFIED: predicted_answer 15.25% (latest-by-date ratings, semantically correct); gold_answer 133.73% (sums all historical snapshot rows, players have very different snapshot counts 24 vs 12). Old classification reused as-is."
bird_1107,european_football_2,moderate,Aziz,2,GOLD_NOISE,broken-nested-orderby,"None -- document. Gold's inner ORDER BY has no effect, outer query resorts by date DESC.","RE-VERIFIED: predicted still finds true MAX crossing via subquery, gold still returns most-recent-snapshot date unrelated to max. Old classification reused as-is (predicted date value shifted from before due to model stochasticity on tied dates, mechanism unchanged)."
bird_1135,european_football_2,moderate,Aziz,-,REASONING,top-N-misread-as-exact-tie,"'Top N lowest/highest X' is standard ranking phrasing (ORDER BY...LIMIT N in BIRD), not a request for values exactly tied at the true min/max. Don't special-case exact ties unless the question explicitly says 'tied for' or similar.","CORRECTED after live DB verification + user pushback: not a genuine ambiguity, the model's exact-tie-at-MIN() reading is the less natural interpretation of standard 'top four lowest X' phrasing. Gold's ORDER BY potential ASC LIMIT 4 is the expected reading. True MIN(potential)=39 only has 2 rows (both player 41496); gold's other 2 rows are the next-lowest (player 166963, potential=42) via straightforward ranking, not a tie."
bird_1144,european_football_2,simple,Aziz,-,GOLD_NOISE,unasked-column,None -- document.,"RE-VERIFIED: predicted_answer [13,13] identical to gold's [98022,13,13] except gold adds an unrequested id column. Old classification reused as-is."
bird_1149,thrombosis_prediction,moderate,Aziz,-,GOLD_NOISE,ignored-part-of-question,"None -- document.","RE-VERIFIED: predicted's percentage column (83.17757...) numerically IDENTICAL to gold's only value. Model answered both parts of a 2-part question, gold drops part 1. Old classification reused as-is."
bird_115,financial,challenging,Aziz,-,GOLD_NOISE,gold-string-sort-trap,"None -- document. Gold should CAST(A4 AS INTEGER) before ORDER BY.","RE-VERIFIED + STRENGTHENED via live DB query: model's current SQL correctly uses CAST(A4 AS INTEGER), independently landing on the true max (Ceske Budejovice, 177686) -- different district than before. Gold still has no cast, still string-sorts to Jindrichuv Hradec (93931, wrong). Model is now MORE correct than before but diverges further from gold's still-buggy answer. Confirms this is unambiguously a gold-side bug, not a model interpretation issue."
bird_1166,thrombosis_prediction,simple,Aziz,-,GOLD_NOISE,ambiguous-column (Patient.Diagnosis vs Examination.Diagnosis),"Metadata fix: document which Diagnosis column is canonical for this DB's gold convention.","RE-VERIFIED: Symptoms value identical ('CNS susp') confirming same patient found correctly; only difference is which table's Diagnosis column was read (Examination.Diagnosis='SLE+Psy' vs Patient.Diagnosis='SLE'). Old classification reused as-is."
bird_1175,thrombosis_prediction,moderate,Aziz,2,REASONING,unnecessary-join-excludes-valid-entity,"Guideline: do not add a JOIN solely to fetch one field if a simpler/direct source exists -- an added INNER JOIN can silently exclude entities lacking a matching row.","RE-VERIFIED via live DB: true max HGB (18.9) still belongs to patient 2307640, who still has 0 Examination rows. Model's JOIN to Examination still excludes this patient. Old classification reused as-is."
bird_1179,thrombosis_prediction,moderate,Aziz,-,GOLD_NOISE,unasked-column,"None -- document.","RE-VERIFIED: predicted 4.1 matches gold's third value (aCL IgM) exactly. Old classification reused as-is."
bird_118,financial,moderate,Aziz,2,REASONING,wrong-denominator (percent-of-what),"'Percentage of X' => COUNT(X) in denominator, regardless of hint arithmetic sketches.","RE-VERIFIED: predicted still amount-weighted (47.55%), gold still count-based (46.89%). Hint itself says 'total(amount)' -- genuinely borderline. Old classification reused as-is."
bird_1205,thrombosis_prediction,moderate,Aziz,-,GOLD_NOISE,yesno-answered-per-row,"None.","RE-VERIFIED: predicted single YES, gold still 44 rows of 0/1 (one per lab record, no aggregation). Old classification reused as-is."
bird_1225,thrombosis_prediction,moderate,Aziz,-,GOLD_NOISE,hint-contradicts-gold,"None.","RE-VERIFIED + fully decoded both answers: predicted's grouped IDs per sex exactly match gold's individual rows when unpacked (100% same patients identified). Model literally follows hint's prescribed GROUP_CONCAT(DISTINCT ID); gold ignores its own hint. Old classification reused as-is."
bird_1227,thrombosis_prediction,moderate,Aziz,2,REASONING,dedup-vs-join-semantics,"Follow hint formulas over raw joined rows, don't dedup unless asked. NUANCE ADDED: the dedup-fix prompt rule targets literal DISTINCT usage; this case uses EXISTS() over the base table instead, which produces the same one-row-per-entity effect without violating the rule's letter. Fix wording may need to cover query SHAPE (EXISTS/subquery-per-entity), not just the DISTINCT keyword.","RE-VERIFIED, value exactly reproducible (71.95, matches old notes exactly). Note: this question appeared 'fixed' (correct) in the official full-500 run but wrong again here -- consistent with the run-to-run instability already documented elsewhere in this project."
bird_1239,thrombosis_prediction,challenging,Aziz,2,REASONING,boundary-off-by-one (hint ">2" vs question "two or more"=">=2"),"When hint's inequality conflicts with a plain-language quantifier (""two or more"" = >=2), trust the question.","RE-VERIFIED: predicted still uses HAVING COUNT(L.ID) > 2 (strict), still missing patient 3182521 who has exactly 2 qualifying records. Old classification reused as-is."
bird_1241,thrombosis_prediction,challenging,Aziz,2,REASONING,extra-column-not-asked,"SELECT exactly what the hint's calculation formula returns, don't add supporting columns. Hint's own inconsistent range boundaries (inclusive 'abnormal' vs strict 'lower/higher') is a real secondary contributor -- document as partial GOLD_NOISE too.","RE-VERIFIED but with a NEW detail: not just an extra column this time -- the comparison value itself differs (predicted -555 vs gold -562), traced to the same hint boundary-inconsistency already flagged, now causing a small numeric mismatch not just a formatting one."
